player_id,player_name,club,date_joined,date_left,fee,prev_club,next_club,transfer_type,season
70228,Aaron Chapman,Tranmere,2019-12-13,2020-01-12,Loan,Peterborough,,Loan,2019/20
78063,Aaron Collins,Tranmere,2017-03-23,2017-06-01,Loan,Wolves U23,,Loan,2016/17
49870,Aaron Cresswell,Tranmere,2008-07-01,2011-07-01,Trainee,Trainee,Ipswich,Trainee,2008/09
53459,Abdulai Bell-Baggie,Tranmere,2012-08-01,2015-03-26,Free,Salisbury FC,Bristol R,Transfer,2012/13
58164,Adam Buxton,Tranmere,2017-01-31,2019-07-01,Unknown,Portsmouth,Morecambe,Unknown,2016/17
66040,Adam Dawson,Tranmere,2015-09-11,2015-12-11,Loan,Kidderminster,,Loan,2015/16
66040,Adam Dawson,Tranmere,2016-11-08,2018-07-05,Unknown,Eastleigh,Southport,Unknown,2016/17
45280,Adam Dugdale,Tranmere,2013-08-30,2013-10-01,Loan,Crewe,,Loan,2013/14
45280,Adam Dugdale,Tranmere,2015-01-28,2015-06-08,Free,Crewe,Morecambe,Transfer,2014/15
55851,Adam McGurk,Tranmere,2010-07-01,2013-08-01,Trainee,Trainee,Burton,Trainee,2010/11
52480,Adam Mekki,Tranmere,2015-08-06,2017-07-01,Free,Dover,Bromley,Transfer,2015/16
16024,Adam Proudlock,Tranmere,2002-10-25,2002-11-25,Loan,Wolves,,Loan,2002/03
35934,Adnan Ahmed,Tranmere,2007-05-25,2009-05-31,Free,Huddersfield,Bradford PA,Transfer,2006/07
24524,Akpo Sodje,Tranmere,2013-07-15,2015-07-25,Free,Scunthorpe,,Transfer,2013/14
4733,Alan Mahon,Tranmere,1995-04-07,2000-07-04,Trainee,Trainee,Sporting,Trainee,1994/95
4733,Alan Mahon,Tranmere,2009-07-07,2011-05-31,Free,Burnley,,Transfer,2009/10
5578,Alan Morgan,Tranmere,1992-05-08,2002-07-29,Trainee,Trainee,Doncaster,Trainee,1991/92
24138,Alan Navarro,Tranmere,2001-11-09,2002-01-22,Loan,Liverpool,,Loan,2001/02
24138,Alan Navarro,Tranmere,2002-01-23,2005-09-09,225000,Liverpool,Accrington,Transfer,2001/02
8945,Alan Rogers,Tranmere,1995-07-01,1997-07-03,Trainee,Trainee,Nottm Forest,Trainee,1995/96
40576,Alex Bruce,Tranmere,2005-08-17,2005-10-17,Loan,Birmingham,,Loan,2005/06
20585,Alex Hay,Tranmere,1999-08-01,2004-06-12,Trainee,Trainee,Rushden,Trainee,1999/00
54534,Alex Woodyard,Tranmere,2020-01-03,2020-07-01,Loan,Peterborough,,Loan,2019/20
46423,Ali Crawford,Tranmere,2021-02-01,2021-06-01,Loan,Bolton,,Loan,2020/21
57204,Andrai Jones,Tranmere,2013-08-16,2013-09-16,Loan,Barnsley,,Loan,2013/14
24672,Andrew Ralph,Tranmere,2000-08-01,2002-04-25,Trainee,Trainee,Vauxhall M,Trainee,2000/01
52497,Andy Cook,Tranmere,2016-05-25,2018-05-22,Free,Barrow,Walsall,Transfer,2015/16
52497,Andy Cook,Tranmere,2020-01-31,2020-07-01,Loan,Mansfield,,Loan,2019/20
54030,Andy Coughlin,Tranmere,2009-07-01,2012-07-01,Trainee,Trainee,Wrexham,Trainee,2009/10
38248,Andy Mangan,Tranmere,2015-07-01,2016-01-07,Free,Shrewsbury,Shrewsbury,Transfer,2015/16
38248,Andy Mangan,Tranmere,2016-11-05,2018-06-09,Free,Shrewsbury,Bala Town,Transfer,2016/17
86848,Andy Mathieson,Tranmere,2015-08-01,2016-06-01,,,,,2015/16
14774,Andy Moran,Tranmere,1997-08-01,2000-08-01,Trainee,Trainee,Hereford.,Trainee,1997/98
10722,Andy Parkinson,Tranmere,1996-08-01,2003-07-16,Trainee,Trainee,Sheff Utd,Trainee,1996/97
34287,Andy Robinson,Tranmere,2002-12-01,2003-08-12,,,Swansea,,2002/03
34287,Andy Robinson,Tranmere,2010-03-25,2010-06-01,Loan,Leeds,,Loan,2009/10
34287,Andy Robinson,Tranmere,2011-01-27,2011-05-31,Loan,Leeds,,Loan,2010/11
34287,Andy Robinson,Tranmere,2011-06-28,2014-07-18,Signed,Leeds,Shrewsbury,Transfer,2011/12
41203,Andy Taylor,Tranmere,2007-11-16,2008-01-17,Loan,Blackburn,,Loan,2007/08
41203,Andy Taylor,Tranmere,2008-01-18,2009-07-15,Signed,Blackburn,Sheff Utd,Transfer,2007/08
7898,Andy Thompson,Tranmere,1997-08-01,2000-08-11,Free,Wolves,Cardiff,Transfer,1997/98
7940,Andy Thorn,Tranmere,1996-09-27,1998-02-02,Free,Hearts,,Transfer,1996/97
21689,Anthony Kay,Tranmere,2007-06-29,2009-07-01,Free,Barnsley,Huddersfield,Transfer,2007/08
73366,Antonie Boland,Tranmere,2013-07-01,2015-04-01,Signed,,Stalybridge,Transfer,2013/14
69045,Armand Gnanduillet,Tranmere,2014-10-20,2014-11-20,Loan,Chesterfield,,Loan,2014/15
51865,Arnaud Mendy,Tranmere,2010-08-31,2010-11-24,Loan,Derby,,Loan,2010/11
165325,Arthur Lomax,Tranmere,2022-07-01,,,,,,2022/23
51399,Ash Taylor,Tranmere,2009-01-01,2014-05-28,Trainee,Trainee,Aberdeen,Trainee,2008/09
115884,Bailey Passant,Tranmere,2018-09-01,2020-07-01,Youth,,Marine,Trainee,2018/19
121908,Bailey Thompson,Tranmere,2019-07-10,2020-08-01,Unknown,,Tadcaster Alb.,Unknown,2019/20
30699,Bas Savage,Tranmere,2008-07-10,2010-05-31,Free,Millwall,Dag & Red,Transfer,2008/09
28928,Ben Chorley,Tranmere,2007-07-02,2009-07-01,Free,MK Dons,Leyton Orient,Transfer,2007/08
69047,Ben Davies,Tranmere,2014-09-19,2014-10-24,Loan,Preston,,Loan,2014/15
54425,Ben Gibson,Tranmere,2012-07-01,2012-12-02,Loan,Middlesbrough,,Loan,2012/13
54425,Ben Gibson,Tranmere,2013-03-15,2013-04-28,Loan,Middlesbrough,,Loan,2012/13
53588,Ben Gordon,Tranmere,2010-03-26,2010-07-31,Loan,Chelsea,,Loan,2009/10
46287,Ben Hinchliffe,Tranmere,2007-02-23,2007-05-06,Loan,Preston,,Loan,2006/07
162707,Ben Hockenhull,Tranmere,2022-06-10,,Free,Brentford,,Transfer,2022/23
80605,Ben Jago,Tranmere,2014-07-01,2016-08-27,Youth,,Llandudno,Trainee,2014/15
126479,Ben Jones,Tranmere,2019-11-01,2023-01-01,Unknown,,,Unknown,2019/20
72078,Ben Maher,Tranmere,2013-08-26,2014-07-01,Youth,,Prestatyn,Trainee,2013/14
51654,Ben Pringle,Tranmere,2019-01-22,2019-06-01,Loan,Preston,,Loan,2018/19
86076,Ben Tollitt,Tranmere,2016-09-23,2019-06-19,Free,Portsmouth,Blackpool,Transfer,2016/17
59954,Ben Tomlinson,Tranmere,2015-10-29,2016-01-10,Loan,Barnet,,Loan,2015/16
9811,Billy Woods,Tranmere,1995-07-10,1997-05-31,50000,Cork City,,Transfer,1995/96
69329,Brad Walker,Tranmere,2023-01-12,,Unknown,Port Vale,,Unknown,2022/23
73122,Brad Watkins,Tranmere,2013-07-01,2013-11-01,Loan,Aston Villa,,Loan,2013/14
72069,Calaum Jahraldo-Martin,Tranmere,2014-11-20,2015-01-01,Loan,Hull,,Loan,2014/15
102630,Callum Lucy,Tranmere,2016-01-01,2017-07-01,,,,,2015/16
51474,Callum McManaman,Tranmere,2021-07-09,2022-07-01,Free,Melbourne Vic,Wigan,Transfer,2021/22
72692,Callum Morris,Tranmere,2013-07-01,2014-09-05,Signed,,Chester,Transfer,2013/14
96015,Calum MacDonald,Tranmere,2020-08-19,2021-01-31,Loan,Blackpool,,Loan,2020/21
96015,Calum MacDonald,Tranmere,2021-02-01,2022-07-01,Loan,Blackpool,,Loan,2020/21
44052,Calum Woods,Tranmere,2019-06-26,2020-08-01,Free,Bradford,Bala Town,Transfer,2019/20
35556,Calvin Zola,Tranmere,2004-05-27,2008-06-27,Free,Newcastle,Crewe,Transfer,2003/04
89002,Cameron Borthwick-Jackson,Tranmere,2019-09-02,2019-12-01,Loan,Man Utd U21,,Loan,2019/20
111842,Carl Spellman,Tranmere,2017-07-01,2020-08-01,,,,,2017/18
37206,Carl Tremarco,Tranmere,2003-08-01,2008-01-18,Trainee,Trainee,Wrexham,Trainee,2003/04
49459,Charlie Barnett,Tranmere,2008-07-01,2010-08-04,Free,Liverpool,Accrington,Transfer,2008/09
120094,Charlie Jolley,Tranmere,2021-01-25,,Undisc.,Wigan,,Transfer,2020/21
55556,Chris Atkinson,Tranmere,2013-07-18,2014-01-01,Loan,Huddersfield,,Loan,2013/14
36344,Chris Dagnall,Tranmere,2003-09-13,2006-07-01,,,Rochdale,,2003/04
36344,Chris Dagnall,Tranmere,2019-01-31,2019-10-07,Free,Bury,Yeovil,Transfer,2018/19
2281,Chris Edwards,Tranmere,2002-09-17,2002-12-18,Loan,Nottm Forest,,Loan,2002/03
9758,Chris Greenacre,Tranmere,2005-07-13,2009-05-31,Free,Stoke,,Transfer,2005/06
21233,Chris McCready,Tranmere,2006-07-18,2007-06-07,Free,Crewe,Crewe,Transfer,2006/07
21233,Chris McCready,Tranmere,2010-01-21,2010-06-01,Loan,Northampton,,Loan,2009/10
104921,Chris Merrie,Tranmere,2021-06-10,,Undisc.,Wigan,,Transfer,2021/22
21776,Chris Shuker,Tranmere,2006-07-08,2010-08-01,Free,Barnsley,Morecambe,Transfer,2006/07
21776,Chris Shuker,Tranmere,2014-12-23,2016-06-01,Free,Port Vale,,Transfer,2014/15
49727,Clayton McDonald,Tranmere,2014-08-04,2014-09-08,Free,Grimsby,Southport,Transfer,2014/15
10720,Clint Hill,Tranmere,1997-08-01,2002-07-12,Trainee,Trainee,Oldham,Trainee,1997/98
63703,Cole Stockton,Tranmere,2012-01-01,2017-06-02,Youth,,Hearts,Trainee,2011/12
63703,Cole Stockton,Tranmere,2018-08-02,2019-07-01,Free,Carlisle,Morecambe,Trainee,2018/19
63609,Connor Jennings,Tranmere,2016-07-01,2020-07-16,Free,Wrexham,Stockport,Transfer,2016/17
63609,Connor Jennings,Tranmere,2023-06-19,,Free,Hartlepool,,Transfer,2023/24
87739,Corey Taylor,Tranmere,2019-07-01,2021-07-01,Free,Aston Villa,Charlton,Transfer,2019/20
45355,Craig Carl Curran,Tranmere,2006-08-01,2010-06-17,Trainee,Trainee,Carlisle,Trainee,2006/07
6947,Craig Russell,Tranmere,1998-08-01,1998-08-30,Loan,Man City,,Loan,1998/99
28843,Craig Taylor,Tranmere,2001-08-01,2002-05-31,Trainee,Trainee,,Trainee,2001/02
55479,Dale Jennings,Tranmere,2010-07-01,2011-07-13,Trainee,Trainee,B Munich,Trainee,2010/11
53388,Dan Gardner,Tranmere,2015-03-02,2015-04-02,Loan,Chesterfield,,Loan,2014/15
42500,Dan Woodards,Tranmere,2014-07-28,2015-07-01,Free,Bristol R,Boreham W,Transfer,2014/15
